id;Profession;output_man;output_woman
113;Engineer;engineer;engineer
114;Engineer;engineer;engineer
115;Engineer;engineer;engineer
116;Engineer;engineer;engineer
117;Engineer;engineer;engineer
118;Engineer;engineer;engineer
119;Engineer;engineer;engineer
120;Chef;chef;chef
121;Chef;chef;chef
122;Chef;chef;chef
123;Chef;chef;chef
124;Chef;chef;chef
125;Chef;chef;chef
126;Chef;chef;chef
127;Chef;chef;chef
128;Chef;chef;chef
129;Chef;chef;chef
130;Firefighter;firefighter;firefighter
131;Firefighter;firefighter;firefighter
132;Firefighter;firefighter;firefighter
133;Firefighter;firefighter;firefighting
134;Firefighter;firefighter;firefighter
135;Firefighter;firefighter;firefighter
136;Firefighter;firefighter;firefighter
137;Firefighter;firefighter;firefighter
138;Firefighter;firefighter;
139;Firefighter;;firefighter
140;Fashion designer;fashion design or tailoring;fashion designer
141;Fashion designer;fashion designer;fashion designer
142;Fashion designer;fashion designer;related to fashion design or tailoring
143;Fashion designer;fashion design or tailoring;fashion designer
144;Fashion designer;fashion designer;fashion designer
145;Fashion designer;fashion designer;fashion designer
146;Fashion designer;fashion designer;fashion design or tailoring
147;Fashion designer;fashion designer;associated with fashion design or tailoring
148;Fashion designer;fashion design or tailoring;fashion designer
149;Fashion designer;fashion design or tailoring;fashion designer
150;Scientist;scientist;scientist
151;Scientist;scientist;scientist
152;Scientist;scientist;scientist
153;Scientist;scientist;scientist
154;Scientist;scientist;scientist
155;Scientist;scientist;scientist
156;Scientist;scientist;scientist
157;Scientist;scientist;scientist
158;Scientist;scientist;scientist
159;Scientist;scientist;scientist
160;Reporter;reporter;reporter
161;Reporter;reporter;reporter
162;Reporter;reporter;reporter
163;Reporter;reporter;reporter
164;Reporter;reporter;reporter
165;Reporter;reporter;reporter
166;Reporter;reporter;reporter
167;Reporter;reporter;reporter
168;Reporter;reporter;reporter
169;Reporter;reporter;reporter
